day,chaser,chasing_events
1,2BD2F91A04,55
1,2BFEF91A04,111
1,33F3F91A04,12
1,5B39FA1A04,28
1,6AA1F91A04,22
1,7E0CFA1A04,32
1,A1D5F91A04,45
1,ACB7F91A04,17
1,C212FA1A04,23
1,EC4BFD1A04,28
2,2BD2F91A04,40
2,2BFEF91A04,62
2,33F3F91A04,13
2,5B39FA1A04,67
2,6AA1F91A04,108
2,7E0CFA1A04,67
2,A1D5F91A04,191
2,ACB7F91A04,44
2,C212FA1A04,17
2,EC4BFD1A04,164
3,2BD2F91A04,33
3,2BFEF91A04,88
3,33F3F91A04,13
3,5B39FA1A04,72
3,6AA1F91A04,210
3,7E0CFA1A04,14
3,A1D5F91A04,141
3,ACB7F91A04,66
3,C212FA1A04,16
3,EC4BFD1A04,231
4,2BD2F91A04,31
4,2BFEF91A04,41
4,33F3F91A04,17
4,5B39FA1A04,42
4,6AA1F91A04,82
4,7E0CFA1A04,88
4,A1D5F91A04,184
4,ACB7F91A04,101
4,C212FA1A04,26
4,EC4BFD1A04,127
5,2BD2F91A04,56
5,2BFEF91A04,77
5,33F3F91A04,51
5,5B39FA1A04,25
5,6AA1F91A04,305
5,7E0CFA1A04,30
5,A1D5F91A04,123
5,ACB7F91A04,63
5,C212FA1A04,18
5,EC4BFD1A04,80
6,2BD2F91A04,41
6,2BFEF91A04,44
6,33F3F91A04,40
6,5B39FA1A04,49
6,6AA1F91A04,371
6,7E0CFA1A04,44
6,A1D5F91A04,101
6,ACB7F91A04,99
6,C212FA1A04,28
6,EC4BFD1A04,135
7,2BD2F91A04,82
7,2BFEF91A04,63
7,33F3F91A04,44
7,5B39FA1A04,37
7,6AA1F91A04,130
7,7E0CFA1A04,89
7,A1D5F91A04,146
7,ACB7F91A04,98
7,C212FA1A04,45
7,EC4BFD1A04,111
8,2BD2F91A04,102
8,2BFEF91A04,68
8,33F3F91A04,44
8,5B39FA1A04,52
8,6AA1F91A04,284
8,7E0CFA1A04,55
8,A1D5F91A04,81
8,ACB7F91A04,87
8,C212FA1A04,67
8,EC4BFD1A04,120
9,2BD2F91A04,62
9,2BFEF91A04,55
9,33F3F91A04,60
9,5B39FA1A04,65
9,6AA1F91A04,174
9,7E0CFA1A04,99
9,A1D5F91A04,151
9,ACB7F91A04,55
9,C212FA1A04,42
9,EC4BFD1A04,124
10,2BD2F91A04,111
10,2BFEF91A04,58
10,33F3F91A04,57
10,5B39FA1A04,56
10,6AA1F91A04,190
10,7E0CFA1A04,88
10,A1D5F91A04,136
10,ACB7F91A04,131
10,C212FA1A04,48
10,EC4BFD1A04,66
11,2BD2F91A04,141
11,2BFEF91A04,43
11,33F3F91A04,43
11,5B39FA1A04,83
11,6AA1F91A04,168
11,7E0CFA1A04,94
11,A1D5F91A04,147
11,ACB7F91A04,76
11,C212FA1A04,38
11,EC4BFD1A04,98
12,2BD2F91A04,140
12,2BFEF91A04,30
12,33F3F91A04,38
12,5B39FA1A04,55
12,6AA1F91A04,141
12,7E0CFA1A04,275
12,A1D5F91A04,82
12,ACB7F91A04,129
12,C212FA1A04,69
12,EC4BFD1A04,91
13,2BD2F91A04,17
13,2BFEF91A04,46
13,33F3F91A04,21
13,5B39FA1A04,45
13,6AA1F91A04,144
13,7E0CFA1A04,61
13,A1D5F91A04,49
13,ACB7F91A04,41
13,C212FA1A04,48
13,EC4BFD1A04,76
14,2BD2F91A04,44
14,2BFEF91A04,61
14,33F3F91A04,41
14,5B39FA1A04,75
14,6AA1F91A04,295
14,7E0CFA1A04,96
14,A1D5F91A04,71
14,ACB7F91A04,88
14,C212FA1A04,44
14,EC4BFD1A04,65
15,2BD2F91A04,55
15,2BFEF91A04,63
15,33F3F91A04,69
15,5B39FA1A04,70
15,6AA1F91A04,153
15,7E0CFA1A04,357
15,A1D5F91A04,43
15,ACB7F91A04,102
15,C212FA1A04,68
15,EC4BFD1A04,160
16,2BD2F91A04,73
16,2BFEF91A04,56
16,33F3F91A04,76
16,5B39FA1A04,52
16,6AA1F91A04,408
16,7E0CFA1A04,89
16,A1D5F91A04,42
16,ACB7F91A04,57
16,C212FA1A04,55
16,EC4BFD1A04,88
17,2BD2F91A04,167
17,2BFEF91A04,62
17,33F3F91A04,82
17,5B39FA1A04,55
17,6AA1F91A04,190
17,7E0CFA1A04,152
17,A1D5F91A04,23
17,ACB7F91A04,56
17,C212FA1A04,49
17,EC4BFD1A04,367
18,2BD2F91A04,68
18,2BFEF91A04,83
18,33F3F91A04,107
18,5B39FA1A04,68
18,6AA1F91A04,91
18,7E0CFA1A04,95
18,A1D5F91A04,10
18,ACB7F91A04,58
18,C212FA1A04,23
18,EC4BFD1A04,120
19,2BD2F91A04,50
19,2BFEF91A04,42
19,33F3F91A04,40
19,5B39FA1A04,63
19,6AA1F91A04,167
19,7E0CFA1A04,452
19,A1D5F91A04,39
19,ACB7F91A04,178
19,C212FA1A04,36
19,EC4BFD1A04,114
20,2BD2F91A04,87
20,2BFEF91A04,51
20,33F3F91A04,68
20,5B39FA1A04,47
20,6AA1F91A04,82
20,7E0CFA1A04,54
20,A1D5F91A04,22
20,ACB7F91A04,37
20,C212FA1A04,32
20,EC4BFD1A04,53
21,2BD2F91A04,42
21,2BFEF91A04,34
21,33F3F91A04,25
21,5B39FA1A04,30
21,6AA1F91A04,89
21,7E0CFA1A04,106
21,A1D5F91A04,59
21,ACB7F91A04,65
21,C212FA1A04,29
21,EC4BFD1A04,69
22,2BD2F91A04,47
22,2BFEF91A04,30
22,33F3F91A04,76
22,5B39FA1A04,41
22,6AA1F91A04,52
22,7E0CFA1A04,165
22,A1D5F91A04,22
22,ACB7F91A04,159
22,C212FA1A04,30
22,EC4BFD1A04,84
23,2BD2F91A04,44
23,2BFEF91A04,216
23,33F3F91A04,45
23,5B39FA1A04,38
23,6AA1F91A04,51
23,7E0CFA1A04,259
23,A1D5F91A04,6
23,ACB7F91A04,35
23,C212FA1A04,22
23,EC4BFD1A04,66
24,2BD2F91A04,58
24,2BFEF91A04,384
24,33F3F91A04,41
24,5B39FA1A04,40
24,6AA1F91A04,151
24,7E0CFA1A04,95
24,A1D5F91A04,27
24,ACB7F91A04,108
24,C212FA1A04,187
24,EC4BFD1A04,91
25,2BD2F91A04,10
25,2BFEF91A04,43
25,33F3F91A04,3
25,5B39FA1A04,2
25,6AA1F91A04,3
25,7E0CFA1A04,15
25,A1D5F91A04,2
25,ACB7F91A04,7
25,C212FA1A04,3
25,EC4BFD1A04,46
